Task,DistCategory,ParamName,ParamValue,Distribution,Policy,Mean,Mean_Std,CVaR10,CVaR10_Std,Min,Min_Std
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.0,Langevin (Noise=0.0) | Gradient Scale=0.0,RSDR (β=-30),584.076171875,31.45848661319109,400.19434029715404,44.99211576476864,21.038612365722656,7.993097673208736
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.5,Langevin (Noise=0.0) | Gradient Scale=0.5,UDR,384.0784200032552,30.101809564719723,84.6346698337131,18.955016684971728,13.14034758673774,6.741239967722494
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.0,Langevin (Noise=0.0001) | Gradient Scale=0.0,RSDR (β=-30),583.8474731445312,31.44162994034238,398.4926321847098,45.363681129238735,20.632482937404088,8.890950004627044
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.0,Langevin (Noise=0.0001) | Gradient Scale=0.0,RSDR (β=-20),562.8792453342014,32.80557125530532,390.55101182725696,18.983731187656375,18.582859887017143,6.680188644635524
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.0,Langevin (Noise=0.0001) | Gradient Scale=0.0,RSDR (β=-10),547.0766194661459,37.66791960855466,368.8015492757161,19.827700261624887,34.20964209238688,13.223728070325025
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.0,Langevin (Noise=0.0001) | Gradient Scale=0.0,UDR,534.3899468315972,32.3632483940319,303.988035413954,55.98536443913055,16.927911016676163,9.419778869093301
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.01,Langevin (Noise=0.0001) | Gradient Scale=0.01,RSDR (β=-30),476.9754856654576,28.852806952011093,129.624879019601,22.819092098881228,13.817684991019112,5.286504596159235
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.01,Langevin (Noise=0.0001) | Gradient Scale=0.01,RSDR (β=-20),468.0377434624566,20.901280728631516,137.2054918077257,32.58225075677377,13.092480977376303,4.412345148453981
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.01,Langevin (Noise=0.0001) | Gradient Scale=0.01,RSDR (β=-10),425.97412109375,30.88932486246023,130.24109013875326,37.287889618913056,18.636194705963135,9.694463505050294
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.01,Langevin (Noise=0.0001) | Gradient Scale=0.01,UDR,368.79945203993054,30.93550079228791,77.84211264716254,17.975343835222336,11.063004387749565,4.5355081634757335
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.05,Langevin (Noise=0.0001) | Gradient Scale=0.05,RSDR (β=-30),530.5618024553571,34.18897150535874,227.26976231166296,44.95188280691577,14.4779965536935,4.96237275147146
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.05,Langevin (Noise=0.0001) | Gradient Scale=0.05,RSDR (β=-20),509.5948757595486,22.38831003437796,202.6695031060113,31.360316887273363,12.503609869215223,5.066064563201111
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.05,Langevin (Noise=0.0001) | Gradient Scale=0.05,RSDR (β=-10),460.1062978108724,37.674838982590806,175.5417938232422,29.938434270915383,18.403959433237713,6.712199554297402
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.05,Langevin (Noise=0.0001) | Gradient Scale=0.05,UDR,397.93897840711804,30.45940747570766,93.9172829522027,26.264186784013063,13.11540667215983,7.790157377890923
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.1,Langevin (Noise=0.0001) | Gradient Scale=0.1,RSDR (β=-30),502.10159737723217,25.882453451370814,161.50404793875558,18.319678305692968,15.554773466927665,4.454332645480168
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.1,Langevin (Noise=0.0001) | Gradient Scale=0.1,RSDR (β=-20),480.4794108072917,20.900290838923343,159.90377807617188,20.542869310777988,12.585019376542833,5.482459510537951
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.1,Langevin (Noise=0.0001) | Gradient Scale=0.1,RSDR (β=-10),449.11878458658856,31.97833813309831,151.09171040852866,27.101989215208214,20.939356803894043,11.97131157289327
